id,nombre,artista,genero,año,popularidad_base
181,Somebody to Love,Queen,Rock,1976,94
182,Radio Ga Ga,Queen,Rock,1984,90
183,Believer,Imagine Dragons,Rock,2017,93
184,Thunder,Imagine Dragons,Rock,2017,92
185,Radioactive,Imagine Dragons,Rock,2012,94
186,Demons,Imagine Dragons,Rock,2012,90
187,Bones,Imagine Dragons,Rock,2022,86
188,Enemy,Imagine Dragons,Rock,2021,89
189,Counting Stars,OneRepublic,Pop Rock,2013,95
190,Apologize,OneRepublic,Pop Rock,2006,93
191,Secrets,OneRepublic,Pop Rock,2009,88
192,Love Runs Out,OneRepublic,Pop Rock,2014,87
193,I Lived,OneRepublic,Pop Rock,2014,85
194,Sunflower,OneRepublic,Pop Rock,2018,84
195,God's Plan,Drake,Hip Hop,2018,95
196,Hotline Bling,Drake,Hip Hop,2015,90
197,In My Feelings,Drake,Hip Hop,2018,92
198,One Dance,Drake,Hip Hop,2016,91
199,Passionfruit,Drake,Hip Hop,2017,89
200,Wait For U,Drake,Hip Hop,2022,88
